,color,x,y,inner,partcode
171,70,210.0,584.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
172,297,210.0,600.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
173,320,210.0,608.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
174,70,210.0,624.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
188,72,230.0,32.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
189,70,230.0,56.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
191,72,230.0,104.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
192,4,230.0,136.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
193,320,230.0,144.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
194,320,230.0,168.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
195,320,230.0,176.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
196,28,230.0,216.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
197,28,230.0,224.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
200,70,230.0,360.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
207,320,230.0,584.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
208,28,230.0,600.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
209,71,230.0,608.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
210,28,230.0,624.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
217,15,250.0,16.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
218,28,250.0,24.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
219,320,250.0,56.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
220,28,250.0,64.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
221,71,250.0,72.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
224,30,250.0,104.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
225,70,250.0,144.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
226,297,250.0,160.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
227,297,250.0,168.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
228,297,250.0,176.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
229,297,250.0,184.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
230,28,250.0,192.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
231,28,250.0,200.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
232,72,250.0,208.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
233,72,250.0,216.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
234,0,250.0,240.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
235,0,250.0,256.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
236,72,250.0,360.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
238,72,250.0,392.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
239,297,250.0,400.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
241,72,250.0,440.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
244,28,250.0,528.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
245,71,250.0,536.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
246,28,250.0,544.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
248,4,250.0,584.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
249,297,250.0,592.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
250,19,250.0,600.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
251,71,250.0,616.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
252,320,250.0,624.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
261,71,270.0,16.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
264,297,270.0,144.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
265,297,270.0,152.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
266,297,270.0,160.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
267,297,270.0,168.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
268,326,270.0,176.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
269,28,270.0,208.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
270,297,270.0,216.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
273,70,270.0,288.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
274,72,270.0,296.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
275,28,270.0,304.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
276,70,270.0,336.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
277,72,270.0,344.0, 0 1 0 0 0 1 0 0 0 1 ,3024.dat
